Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
206427,3835379,71,8,married,rented,no,Chef,Ahmednagar,Maharashtra,8,12,0
79650,2060668,67,8,single,rented,yes,Army_officer,Agra,Uttar_Pradesh,3,13,0
99155,6437103,56,3,married,rented,no,Surgeon,Kamarhati,West_Bengal,3,12,0
209414,2385302,69,10,single,rented,yes,Secretary,Panipat,Haryana,8,13,1
138599,6973369,68,20,single,rented,no,Physician,Raebareli,Uttar_Pradesh,11,13,1
71918,36391,34,7,single,rented,no,Engineer,Delhi_city,Delhi,6,12,0
178508,780090,55,9,single,norent_noown,no,Surveyor,Gorakhpur,Uttar_Pradesh,9,14,1
246655,8000342,36,14,single,rented,yes,Architect,Kirari_Suleman_Nagar,Delhi,12,11,1
183614,3798306,42,11,single,rented,yes,Geologist,Aizawl,Mizoram,11,14,0
123788,2575197,72,2,single,owned,no,Scientist,Bongaigaon,Assam,2,14,1
5435,9724250,67,17,single,rented,yes,Dentist,Bathinda,Punjab,3,13,0
101130,9738992,35,17,single,rented,yes,Surveyor,Aurangabad,Maharashtra,13,12,0
11727,8996089,71,5,single,rented,no,Librarian,Bhilai,Chhattisgarh,5,12,0
247998,9579907,36,9,single,rented,no,Chartered_Accountant,Rohtak,Haryana,5,14,0
162534,2024213,38,19,single,rented,no,Comedian,Durg,Chhattisgarh,8,14,0
37486,8748167,36,10,single,rented,no,Surveyor,Bhiwandi,Maharashtra,10,14,1
21119,3352999,54,16,single,rented,no,Consultant,Bidar,Karnataka,14,11,1
94167,2499276,21,0,single,rented,no,Physician,Dhanbad,Jharkhand,0,12,1
200723,6258257,41,8,single,rented,yes,Lawyer,Chennai,Tamil_Nadu,7,14,0
21604,6115704,57,17,single,owned,no,Economist,Deoghar,Jharkhand,12,14,1
143077,72998,51,16,single,rented,no,Geologist,Purnia[26],Bihar,13,13,1
111712,6055718,30,4,single,rented,no,Analyst,Solapur,Maharashtra,4,10,0
113532,495619,26,1,single,rented,no,Consultant,Raiganj,West_Bengal,1,14,1
70495,8573668,57,15,single,rented,yes,Lawyer,Medininagar,Jharkhand,13,13,1
26602,3386878,42,18,single,owned,yes,Technician,Sonipat,Haryana,3,14,0
234509,4137853,48,15,single,rented,no,Chartered_Accountant,Ramagundam[27],Telangana,6,13,1
81824,9176670,69,12,single,rented,no,Aviator,Bidar,Karnataka,6,12,0
89197,1657435,36,7,single,rented,yes,Hotel_Manager,Bilaspur,Chhattisgarh,7,13,1
248018,9947139,67,10,married,owned,no,Technology_specialist,Bihar_Sharif,Bihar,10,10,1
151230,9334042,52,10,single,rented,yes,Economist,Malegaon,Maharashtra,5,11,0
214889,933077,40,8,single,rented,yes,Air_traffic_controller,Etawah,Uttar_Pradesh,8,10,0
222215,8914779,73,5,single,rented,no,Petroleum_Engineer,Guntakal,Andhra_Pradesh,5,11,0
114376,8729941,33,20,single,rented,no,Technical_writer,Satara,Maharashtra,11,11,0
249679,955027,62,5,single,norent_noown,yes,Physician,Etawah,Uttar_Pradesh,5,13,0
24396,6373332,40,1,single,rented,yes,Psychologist,Tiruppur,Tamil_Nadu,1,12,0
232484,9987812,66,14,single,rented,yes,Biomedical_Engineer,Bokaro,Jharkhand,9,13,1
218542,8106664,74,8,single,rented,no,Drafter,Bangalore,Karnataka,5,14,1
48979,5628436,48,13,single,rented,no,Computer_hardware_engineer,Danapur,Bihar,10,10,1
2413,9109752,69,16,single,rented,yes,Surveyor,Tinsukia,Assam,7,13,1
211133,1139981,60,12,single,rented,no,Civil_engineer,Ambattur,Tamil_Nadu,12,12,1
115220,11430,70,20,single,rented,yes,Civil_servant,Kalyan-Dombivli,Maharashtra,3,13,0
195604,9187149,79,1,single,rented,yes,Chartered_Accountant,Nagaon,Assam,1,13,1
6985,7957694,22,0,single,rented,yes,Computer_hardware_engineer,Ratlam,Madhya_Pradesh,0,14,1
55425,9951774,40,12,single,rented,no,Hotel_Manager,Secunderabad,Telangana,7,12,0
107265,8492508,67,18,single,rented,no,Chemical_engineer,Dewas,Madhya_Pradesh,12,13,0
20100,6427114,71,12,single,rented,no,Chef,Madurai,Tamil_Nadu,4,10,1
65149,1853560,73,8,single,rented,no,Drafter,Sambalpur,Odisha,8,11,0
206955,6943697,37,14,single,rented,no,Army_officer,Pali,Rajasthan,3,12,1
229486,9815392,47,1,single,rented,yes,Computer_hardware_engineer,Thoothukudi,Tamil_Nadu,1,14,1
52461,4884889,28,13,single,rented,no,Design_Engineer,Bhavnagar,Gujarat,10,12,0
53846,9584354,66,17,single,rented,yes,Software_Developer,Morena,Madhya_Pradesh,12,13,1
1158,8854489,36,18,single,rented,no,Design_Engineer,Panvel,Maharashtra,13,14,1
132526,5850867,30,1,married,rented,yes,Consultant,Mahbubnagar,Telangana,1,10,0
231925,2878319,76,0,single,rented,no,Civil_engineer,Nagercoil,Tamil_Nadu,0,12,1
82303,1923707,40,16,single,rented,no,Design_Engineer,Bellary,Karnataka,4,12,1
159595,1298318,30,1,single,rented,yes,Hotel_Manager,Suryapet,Telangana,1,12,1
157311,8793461,53,18,single,rented,no,Politician,Gulbarga,Karnataka,8,10,0
90933,4825118,52,1,single,rented,no,Magistrate,Danapur,Bihar,1,10,1
40277,5279919,38,19,single,owned,no,Financial_Analyst,Kumbakonam,Tamil_Nadu,3,10,1
109343,3142984,22,13,single,rented,no,Chef,Haridwar,Uttarakhand,10,12,1
58097,6437855,27,10,single,rented,no,Architect,Bhind,Madhya_Pradesh,10,10,0
160202,3539122,28,11,single,rented,no,Technician,Alappuzha,Kerala,4,13,0
39272,3779002,57,8,single,rented,no,Graphic_Designer,Amravati,Maharashtra,8,14,1
50355,5832406,24,4,single,rented,yes,Designer,Sangli-Miraj_&_Kupwad,Maharashtra,4,12,1
37149,8775508,55,0,single,rented,no,Magistrate,Bhilai,Chhattisgarh,0,10,0
83705,2628971,30,19,single,rented,no,Consultant,Guntur[13],Andhra_Pradesh,7,14,1
189118,4991059,39,11,single,rented,no,Magistrate,Jhansi,Uttar_Pradesh,11,14,0
125304,5867312,43,1,single,owned,no,Chartered_Accountant,Kurnool[18],Andhra_Pradesh,1,13,1
84685,5393575,22,1,single,rented,yes,Firefighter,Motihari[34],Bihar,1,13,1
233491,133848,52,20,single,rented,no,Microbiologist,Kavali,Andhra_Pradesh,11,13,0
131261,4774357,48,12,married,rented,no,Microbiologist,Vellore,Tamil_Nadu,12,14,0
89199,739809,55,4,single,rented,no,Artist,Vijayanagaram,Andhra_Pradesh,4,12,1
209960,4386490,52,10,single,rented,yes,Magistrate,Tezpur,Assam,10,13,0
114746,7932994,57,18,single,rented,yes,Chemical_engineer,Bellary,Karnataka,12,11,0
